studentId,name,learningStyle,shannonEntropy,louvainCommunity,betweenness,lovedTopicIds,dislikedTopicIds
S0047,Özel Merdi Çetin,Mixed,1.9219280948873625,4,0.0021653806319271,[],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0209,Süheyda Şahnuray Durmuş,Visual,1.9219280948873625,2,0.0005000429266403,"['LIT032', 'LIT033', 'LIT031', 'LIT034']","['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0059,Sultane Balca Demirel,Mixed,1.9219280948873625,4,0.004336980111996,[],"['HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0190,Mujde Korutürk,Reading/Writing,1.9219280948873625,1,0.0039967811030396,"['MAT020', 'PHY002']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0096,Sedife Dumanlı Zengin,Mixed,1.9219280948873625,1,0.0063429747418813,"['PHY001', 'PHY004']","['CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015']"
S0107,Zennun Akdeniz,Audio,1.9219280948873625,1,0.0056806061278002,[],[]
S0127,Sanur Armahan Çetin Alemdar,Audio,1.9219280948873625,3,0.0056922442050817,['TRK040'],"['LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0161,Rana Henife Şensoy Demirel,Mixed,1.9219280948873625,3,0.0023679352792635,"['TRK039', 'TRK036', 'TRK037']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030']"
S0150,Peren Akgündüz,Mixed,1.9219280948873625,2,0.0037867049830525,[],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025']"
S0001,Tuğtaş Bilgin,Visual,1.9219280948873625,0,0.0042690235867828,['HIS024'],"['MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020']"
