studentId,name,learningStyle,lovedTopicIds,dislikedTopicIds,socialEngagementScore
S0017,Hayel Şeref Dumanlı Manço,Kinaesthetic,"[""BIO006"", ""BIO010"", ""BIO007"", ""BIO009"", ""BIO008""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.13279012143275798
S0018,Hazine Müşüre Mansız,Mixed,"[""BIO007"", ""BIO006"", ""BIO010""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.32643436842516804
S0019,Akise Kandef Yılmaz Akgündüz,Audio,"[""HIS022""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010""]",0.1658104012585459
S0020,Pürçek Aksu Yıldırım,Visual,"[""MAT016"", ""MAT018"", ""HIS022"", ""MAT020"", ""HIS025""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010""]",0.207734214505591
S0021,Hümeyra Sernur Şensoy,Visual,"[""CHM011"", ""TRK037"", ""TRK038"", ""TRK036"", ""LIT034"", ""CHM015"", ""LIT033"", ""TRK040"", ""TRK039"", ""CHM014""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.26340848808284784
S0022,Toker Ülker,Reading/Writing,"[""BIO008"", ""BIO007"", ""GEO030"", ""BIO010"", ""MAT020"", ""GEO026"", ""MAT019"", ""MAT016"", ""BIO009"", ""GEO027""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.39001433036648914
S0023,Oguş Kısakürek Durmuş,Mixed,"[""HIS024"", ""TRK037"", ""TRK038"", ""HIS022"", ""TRK040"", ""HIS023"", ""TRK036"", ""TRK039"", ""HIS025""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.15364547000727538
S0024,Havali Arslan,Visual,"[""CHM012"", ""LIT035""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.30550235119832075
S0025,Oguş Ömriye Arslan,Visual,"[""GEO029"", ""LIT035"", ""GEO026"", ""LIT031"", ""BIO007"", ""GEO027"", ""LIT033"", ""GEO030"", ""GEO028"", ""LIT034""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.20331388126559594
S0026,Ercihan Arsoy,Visual,"[""HIS024"", ""CHM014"", ""CHM013"", ""HIS021"", ""HIS025"", ""CHM012"", ""CHM011"", ""CHM015"", ""HIS023"", ""HIS022""]",[],0.18387687608823067
S0027,Akçabay Dumanlı,Kinaesthetic,"[""LIT033"", ""LIT031"", ""LIT034"", ""LIT032"", ""LIT035""]","[""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.36782408723548077
S0028,Bahittin Alemdar,Kinaesthetic,"[""PHY002"", ""PHY003"", ""PHY001"", ""BIO008"", ""BIO006"", ""PHY005"", ""BIO010""]","[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020""]",0.20209676646387698
S0029,Gökçebalan Sümeyye Kısakürek,Reading/Writing,"[""CHM015"", ""TRK040"", ""BIO007"", ""BIO006"", ""BIO008"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""BIO009"", ""CHM011"", ""BIO010"", ""CHM012""]","[""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.18633950452881953
S0030,Haliye Ülker,Reading/Writing,"[""HIS022"", ""BIO007"", ""BIO010"", ""TRK036"", ""TRK037"", ""HIS025""]",[],0.2835202997539891
S0031,Beray Şamiha Zorlu Akçay,Reading/Writing,"[""PHY005"", ""PHY004"", ""PHY003"", ""BIO007""]","[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.10039930306621207
S0032,Birben Bilginur Yıldırım Gül,Kinaesthetic,"[""GEO027"", ""PHY003"", ""GEO029"", ""PHY004"", ""PHY005"", ""PHY002"", ""GEO028"", ""PHY001""]",[],0.20772938916523406
S0033,Tümer İhsanoğlu,Reading/Writing,[],"[""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.30963770735951407
S0034,Zeride Sezer,Kinaesthetic,"[""LIT031""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.04438580012260338
S0035,Sırriye Lezize Duran Arsoy,Audio,"[""MAT017"", ""MAT020"", ""GEO030"", ""MAT019""]",[],0.12457921344554526
S0036,Taçnur Sedife Demirel,Visual,"[""CHM013"", ""CHM012"", ""HIS024"", ""GEO026"", ""GEO029"", ""GEO028"", ""HIS025"", ""CHM014"", ""HIS022"", ""GEO030"", ""HIS021"", ""GEO027"", ""CHM011""]","[""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.21100332015818626
S0037,Selaheddin Bilge,Visual,"[""HIS022"", ""HIS021"", ""HIS024"", ""HIS025"", ""HIS023""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005""]",0.3581887554246956
S0038,Aysoy Bilgin,Mixed,"[""LIT033"", ""TRK040""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015""]",0.6522422663601021
S0039,Okyalaz Eraslan,Kinaesthetic,"[""PHY001""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.16226602605678067
S0040,Övün Ümmühan Soylu,Kinaesthetic,"[""GEO030"", ""GEO029"", ""GEO027"", ""BIO009"", ""BIO010"", ""GEO026"", ""BIO006"", ""BIO007"", ""GEO028"", ""BIO008""]",[],0.0694242954698856
S0041,Abdülhadi Çorlu,Mixed,"[""MAT020"", ""MAT019"", ""CHM011"", ""MAT017"", ""PHY002"", ""CHM014"", ""PHY003"", ""PHY001"", ""MAT016"", ""MAT018"", ""PHY004"", ""PHY005"", ""CHM015""]",[],0.07684808080982097
S0042,Edgübay Sakarya,Mixed,"[""GEO028"", ""GEO026"", ""GEO030"", ""GEO027""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.1744335165862888
S0043,Urhan Karadeniz,Visual,"[""BIO007"", ""BIO008"", ""HIS021"", ""HIS024"", ""HIS023"", ""BIO009""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.5434537469656785
S0044,Koray Tarhan,Audio,[],"[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.061653913446673224
S0045,Bilgen Hançer,Kinaesthetic,"[""BIO008"", ""BIO007"", ""BIO006""]","[""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.23568650663126425
S0046,Yağızkurt Seven,Kinaesthetic,"[""LIT034"", ""LIT033"", ""BIO007"", ""MAT019"", ""LIT032""]","[""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.31329412667520323
S0047,Özel Merdi Çetin,Mixed,[],"[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.15258331470398612
S0048,Halidun Özokçu Öcalan,Audio,"[""CHM013"", ""CHM012"", ""CHM014"", ""CHM015""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.38688633601837824
S0049,Kibar Danış Hançer Kısakürek,Reading/Writing,"[""MAT018"", ""MAT019""]","[""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.4845897602554896
S0050,Azize Sezen Ergül Aslan,Reading/Writing,"[""HIS025"", ""HIS021"", ""LIT033""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.0959387779732849
S0051,Tutkucan Neriban Yıldırım,Kinaesthetic,[],"[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.3662241584833629
S0052,Yağın Zengin,Reading/Writing,"[""LIT034"", ""LIT033""]",[],0.29837284269070247
S0053,Sidar Mansız,Visual,"[""MAT016"", ""PHY004""]","[""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.2237663665214278
S0054,Gülsalın Mümtaze İnönü Çetin,Visual,"[""LIT033"", ""BIO008"", ""LIT035"", ""BIO009"", ""BIO010""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.16429164852136469
S0055,Belgizar Aksu Erdoğan,Visual,[],[],0.46138582746288664
S0056,Karakucak Aybora Sezer Soylu,Kinaesthetic,"[""CHM013""]","[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.09832146075036968
S0057,Örfiye Çamurcuoğlu,Audio,"[""BIO008"", ""PHY002"", ""BIO009"", ""BIO007"", ""PHY004"", ""PHY005"", ""PHY001"", ""PHY003"", ""BIO006"", ""BIO010""]","[""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.179247512983417
S0058,Aysuna Tomurcuk Zengin,Kinaesthetic,"[""PHY003"", ""HIS021"", ""HIS024"", ""PHY002"", ""CHM014"", ""CHM011"", ""HIS022""]","[""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.34301873259799726
S0059,Sultane Balca Demirel,Mixed,[],"[""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.2746698380360602
S0060,Server Bilgin,Reading/Writing,"[""HIS022"", ""GEO026"", ""HIS024"", ""GEO029"", ""GEO027"", ""HIS021""]",[],0.4432945779277498
S0061,Gücal Aliihsan Mansız,Mixed,"[""CHM013"", ""CHM015"", ""PHY003""]","[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.13272443189522465
S0062,Çeviköz Hasbek Hançer,Audio,[],"[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.4006430877209991
S0063,Öktürk Bedi Korutürk,Audio,[],"[""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.32259603850098684
S0064,Ergönül İdiris Tarhan,Reading/Writing,"[""GEO029"", ""GEO028"", ""PHY001"", ""GEO026"", ""HIS021"", ""PHY005""]","[""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015""]",0.2923618255131976
S0065,Taciddin Akalan Yorulmaz Ergül,Visual,"[""LIT031"", ""LIT034"", ""MAT020"", ""LIT032"", ""MAT016"", ""MAT019"", ""LIT035"", ""MAT017""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.11357697325263678
S0066,Ermutlu İhsanoğlu,Mixed,"[""HIS023"", ""HIS025"", ""HIS022""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.34155895722546276
S0067,Macide Eraslan Fırat,Mixed,"[""GEO029"", ""MAT016"", ""MAT020"", ""MAT017"", ""CHM015"", ""CHM011"", ""CHM012"", ""GEO027"", ""CHM013"", ""GEO026"", ""MAT019"", ""GEO028""]","[""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.16999587395941756
S0068,Uzsoy Hançer,Audio,"[""BIO007"", ""BIO010"", ""PHY001"", ""TRK039"", ""PHY003"", ""BIO008""]","[""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.8014732049023443
S0069,Mahnaz Bilir Akçay,Kinaesthetic,"[""LIT033"", ""TRK039"", ""TRK036"", ""LIT034"", ""TRK040"", ""TRK038"", ""LIT032"", ""LIT031"", ""LIT035"", ""TRK037""]",[],0.13177062408757453
S0070,Deryanur Şener,Reading/Writing,"[""BIO007"", ""BIO008"", ""LIT035"", ""CHM013""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.12549965919150205
S0071,Günaydin Gül,Audio,"[""GEO029"", ""BIO010"", ""LIT034"", ""BIO008"", ""LIT031"", ""LIT032"", ""GEO026"", ""BIO009"", ""BIO006""]","[""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.3370138954716538
S0072,Kader Hanbiken Şama,Audio,"[""MAT018"", ""MAT019"", ""MAT020"", ""MAT016"", ""MAT017""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.03439862200520179
S0073,Sarya Gülgen Akça İhsanoğlu,Visual,"[""LIT031"", ""GEO027"", ""LIT033""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.15937752033309405
S0074,Sadittin Tevetoğlu,Reading/Writing,"[""LIT034"", ""CHM011"", ""CHM012"", ""CHM015"", ""LIT033"", ""CHM013"", ""LIT031""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.2615158445906097
S0075,Şehza Ülker Ülker,Audio,"[""CHM015"", ""CHM013"", ""MAT020"", ""MAT018"", ""MAT017"", ""CHM011"", ""CHM012"", ""MAT019"", ""MAT016""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.2491194021961276
S0076,Rezin Nüdret Aslan,Audio,"[""PHY001"", ""PHY005""]",[],0.06858692463081448
S0077,Gözem Akar Akçay,Audio,"[""GEO028"", ""GEO026"", ""MAT017"", ""PHY005"", ""MAT018"", ""PHY002"", ""PHY001"", ""PHY003"", ""PHY004"", ""GEO030"", ""MAT016"", ""GEO027"", ""MAT019""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.4595064072499053
S0078,Nezihi Kısakürek,Kinaesthetic,"[""GEO030"", ""GEO026"", ""GEO027""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.5414781386117564
S0079,Armahan İnönü,Audio,"[""BIO006"", ""BIO010""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005""]",0.26059606181093153
